Model,CV Score,Train Accuracy,Test Accuracy,Training Time (s),Best Params
Naive Bayes,0.9948863636363635,0.9948863636363636,0.9954545454545455,0.05329108238220215,{}
Random Forest,0.9954545454545455,0.9971590909090909,0.9931818181818182,50.47083377838135,"{'n_estimators': 200, 'max_features': 'sqrt', 'max_depth': 10}"
QDA,0.9943181818181819,0.9965909090909091,0.9886363636363636,0.05624532699584961,{}
Gradient Boosting,0.9914772727272727,1.0,0.9886363636363636,1122.262619972229,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1}"
Neural Network,0.9863636363636363,1.0,0.9886363636363636,347.1414077281952,"{'learning_rate': 'constant', 'hidden_layer_sizes': (100, 50), 'alpha': 0.0001}"
SVM,0.9846590909090909,0.9931818181818182,0.9886363636363636,24.959998607635498,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 10}"
Logistic Regression,0.9806818181818182,0.9903409090909091,0.9840909090909091,1.5941228866577148,{'C': 100}
Decision Tree,0.9857954545454545,0.9960227272727272,0.9818181818181818,1.3862760066986084,"{'min_samples_split': 10, 'max_depth': 15, 'criterion': 'gini'}"
KNN,0.9715909090909092,1.0,0.975,7.413172721862793,"{'n_neighbors': 3, 'weights': 'distance'}"
LDA,0.965340909090909,0.9664772727272727,0.9681818181818181,0.07640433311462402,{}
